Normal Atmosphere,Polluted Atmosphere,Time (sec)
144,306,40.7
145,306,40.8
144,306,40.9
144,306,41
144,307,41.1
144,307,41.2
144,307,41.3
144,308,41.4
145,308,41.5
144,308,41.6
144,308,41.7
144,308,41.8
144,308,41.9
144,309,42
144,309,42.1
144,309,42.2
144,308,42.3
144,307,42.4
144,305,42.5
144,302,42.6
144,302,42.7
144,302,42.8
144,302,42.9
144,301,43
143,301,43.1
144,301,43.2
144,300,43.3
144,300,43.4
144,303,43.5
144,305,43.6
144,307,43.7
144,309,43.8
143,308,43.9
144,309,44
144,310,44.1
143,311,44.2
144,310,44.3
144,310,44.4
144,310,44.5
144,312,44.6
144,313,44.7
143,314,44.8
144,314,44.9
144,314,45
144,314,45.1
144,315,45.2
144,314,45.3
144,314,45.4
144,315,45.5
143,316,45.6
144,316,45.7
144,316,45.8
144,317,45.9
144,316,46
143,317,46.1
144,317,46.2
144,316,46.3
144,317,46.4
144,317,46.5
144,317,46.6
144,317,46.7
144,316,46.8
144,316,46.9
144,315,47
144,315,47.1
144,315,47.2
144,316,47.3
143,316,47.4
144,317,47.5
144,316,47.6
144,317,47.7
143,316,47.8
143,317,47.9
145,317,48
144,318,48.1
144,318,48.2
144,319,48.3
143,319,48.4
143,320,48.5
144,320,48.6
144,320,48.7
144,321,48.8
143,321,48.9
144,321,49
144,321,49.1
143,321,49.2
144,321,49.3
144,321,49.4
143,321,49.5
143,321,49.6
144,321,49.7
144,321,49.8
143,316,49.9
144,313,50
143,310,50.1
144,310,50.2
143,309,50.3
144,310,50.4
144,313,50.5
143,314,50.6
144,310,50.7
144,309,50.8
143,311,50.9
144,313,51
143,308,51.1
144,312,51.2
143,315,51.3
143,310,51.4
144,312,51.5
144,312,51.6
143,313,51.7
144,317,51.8
144,317,51.9
144,316,52
143,316,52.1
144,314,52.2
144,314,52.3
143,315,52.4
143,314,52.5
144,316,52.6
144,316,52.7
143,316,52.8
143,317,52.9
143,315,53
144,317,53.1
143,317,53.2
143,316,53.3
144,314,53.4
143,315,53.5
143,318,53.6
143,318,53.7
144,315,53.8
143,316,53.9
143,316,54
143,315,54.1
143,316,54.2
144,315,54.3
143,317,54.4
143,315,54.5
143,316,54.6
143,318,54.7
143,321,54.8
144,321,54.9
143,321,55
144,320,55.1
143,321,55.2
143,321,55.3
143,321,55.4
143,320,55.5
143,320,55.6
144,320,55.7
143,321,55.8
144,321,55.9
144,320,56
143,320,56.1
144,321,56.2
144,320,56.3
143,321,56.4
143,322,56.5
143,321,56.6
143,321,56.7
144,322,56.8
143,321,56.9
143,322,57
143,322,57.1
143,322,57.2
143,322,57.3
143,322,57.4
143,322,57.5
143,323,57.6
144,324,57.7
143,324,57.8
143,324,57.9
143,323,58
143,323,58.1
143,323,58.2
144,323,58.3
143,323,58.4
144,323,58.5
143,324,58.6
143,323,58.7
143,324,58.8
143,325,58.9
144,323,59
144,323,59.1
143,324,59.2
143,323,59.3
143,323,59.4
143,323,59.5
143,324,59.6
143,324,59.7
143,323,59.8
144,324,59.9
143,324,60
143,327,60.1
143,326,60.2
143,326,60.3
143,327,60.4
143,327,60.5
143,327,60.6
143,330,60.7
143,327,60.8
143,327,60.9
143,326,61
143,327,61.1
143,326,61.2
143,326,61.3
143,325,61.4
143,325,61.5
143,324,61.6
143,326,61.7
143,324,61.8
143,326,61.9
144,326,62
143,326,62.1
143,326,62.2
143,327,62.3
143,326,62.4
143,329,62.5
143,327,62.6
143,328,62.7
143,328,62.8
143,328,62.9
143,329,63
143,329,63.1
143,329,63.2
143,329,63.3
144,329,63.4
143,329,63.5
143,329,63.6
143,329,63.7
143,329,63.8
143,329,63.9
143,329,64
143,329,64.1
143,327,64.2
143,328,64.3
143,328,64.4
143,329,64.5
143,329,64.6
143,329,64.7
143,329,64.8
143,329,64.9
143,329,65
143,330,65.1
143,330,65.2
143,329,65.3
143,329,65.4
143,330,65.5
143,331,65.6
143,331,65.7
143,331,65.8
143,331,65.9
143,331,66
143,331,66.1
143,331,66.2
143,331,66.3
144,331,66.4
143,332,66.5
143,332,66.6
143,332,66.7
143,332,66.8
143,332,66.9
143,332,67
143,332,67.1
143,332,67.2
143,332,67.3
143,332,67.4
144,332,67.5
143,332,67.6
143,332,67.7
143,333,67.8
143,332,67.9
143,333,68
143,333,68.1
143,332,68.2
143,333,68.3
143,333,68.4
143,333,68.5
143,332,68.6
144,333,68.7
143,333,68.8
143,333,68.9
143,333,69
143,333,69.1
142,333,69.2
143,333,69.3
143,334,69.4
143,333,69.5
143,333,69.6
143,334,69.7
143,334,69.8
143,334,69.9
143,333,70
143,334,70.1
143,333,70.2
143,333,70.3
143,333,70.4
143,333,70.5
143,333,70.6
144,333,70.7
143,333,70.8
142,333,70.9
143,333,71
144,333,71.1
142,333,71.2
143,333,71.3
143,333,71.4
143,333,71.5
143,333,71.6
143,333,71.7
143,333,71.8
143,333,71.9
143,333,72
143,333,72.1
143,334,72.2
144,334,72.3
143,334,72.4
143,331,72.5
144,332,72.6
143,334,72.7
143,334,72.8
143,335,72.9
143,334,73
142,335,73.1
143,334,73.2
143,336,73.3
143,340,73.4
143,338,73.5
142,338,73.6
143,340,73.7
143,335,73.8
143,336,73.9
143,336,74
143,336,74.1
143,335,74.2
143,335,74.3
143,335,74.4
143,335,74.5
142,336,74.6
143,335,74.7
143,336,74.8
143,335,74.9
143,336,75
143,336,75.1
143,335,75.2
143,335,75.3
143,336,75.4
143,336,75.5
142,336,75.6
143,337,75.7
143,337,75.8
143,336,75.9
143,336,76
143,336,76.1
143,335,76.2
143,333,76.3
