MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
84,344,123,121,471,649,145,123,97,1016,146,1015,10.1
83,344,123,122,471,649,145,123,97,1016,146,1014,10.2
83,344,123,122,471,650,146,124,97,1016,146,1015,10.3
83,343,123,122,471,650,145,125,97,1016,146,1014,10.4
83,343,123,122,471,650,145,125,97,1016,146,1015,10.5
83,343,123,122,471,650,145,126,97,1014,146,1015,10.6
83,344,124,122,471,650,145,127,97,1011,147,1015,10.7
83,343,123,122,471,649,146,127,97,1009,146,1014,10.8
83,344,124,122,471,649,146,128,97,998,145,1014,10.9
84,344,124,122,471,650,146,128,97,979,146,1014,11
83,344,123,122,471,650,145,130,97,1000,146,1015,11.1
83,344,123,122,471,650,145,130,97,1014,146,1015,11.2
83,343,124,123,471,651,145,131,97,1016,146,1015,11.3
83,343,123,123,471,650,145,132,97,1016,146,1015,11.4
84,343,123,123,471,649,145,133,97,1015,146,1012,11.5
83,343,123,123,471,650,145,134,97,1016,146,999,11.6
84,343,123,123,471,650,145,135,97,1015,146,933,11.7
83,343,123,123,471,651,145,136,98,1015,146,1011,11.8
83,343,123,123,471,650,145,137,96,1013,146,1015,11.9
83,343,124,123,471,650,145,138,97,1013,146,1015,12
84,343,123,123,471,650,146,139,97,1004,146,1015,12.1
83,344,124,123,471,650,145,140,97,1012,146,1016,12.2
83,343,124,123,471,650,145,141,97,1002,146,1015,12.3
83,343,123,123,471,651,145,142,97,996,146,1016,12.4
83,344,123,124,471,651,146,143,97,999,146,1016,12.5
83,343,124,123,471,650,145,144,97,999,146,1016,12.6
83,343,123,124,471,650,145,145,97,999,146,1015,12.7
83,343,123,124,471,649,146,146,97,1002,145,1015,12.8
84,343,123,123,471,649,146,147,97,1008,147,1015,12.9
83,343,123,124,471,648,145,148,97,1009,147,1015,13
83,343,124,124,471,648,145,150,97,1007,146,1016,13.1
83,343,123,125,471,648,146,150,97,1008,145,1016,13.2
83,343,123,124,471,647,145,151,96,1014,146,1015,13.3
83,343,124,124,472,647,145,153,97,1015,146,1015,13.4
83,343,123,124,471,647,146,153,96,1015,146,1015,13.5
83,343,124,124,471,647,145,154,97,1012,145,1015,13.6
83,343,123,125,472,647,145,155,97,1013,146,1014,13.7
83,343,123,125,471,645,146,156,97,1013,146,1015,13.8
83,343,124,125,471,645,145,156,97,1008,146,1014,13.9
84,343,123,125,471,645,145,158,97,1008,146,1014,14
83,343,123,125,471,646,145,159,97,1012,145,1014,14.1
84,343,124,124,471,646,146,160,97,1009,146,1015,14.2
83,343,123,125,471,646,146,160,96,1011,147,1014,14.3
83,343,123,125,471,646,145,161,97,1013,146,1015,14.4
84,343,124,126,471,646,146,163,97,1013,146,1015,14.5
83,343,123,125,471,646,145,163,97,1007,146,1014,14.6
83,343,124,126,471,647,145,164,97,1007,146,1015,14.7
83,343,124,125,471,647,145,165,97,1013,146,1015,14.8
84,342,123,126,471,647,145,166,97,1012,146,1015,14.9
83,343,123,126,471,648,146,167,96,993,147,1015,15
84,342,123,126,472,648,145,167,97,1004,146,1015,15.1
84,342,124,126,471,648,145,169,97,1002,146,1014,15.2
83,343,124,126,471,648,145,169,97,1011,145,1015,15.3
83,343,123,126,471,648,145,171,97,1010,146,1014,15.4
84,342,123,125,471,648,145,171,97,1007,146,1015,15.5
83,342,123,125,471,648,145,173,96,1016,146,1014,15.6
83,342,124,125,471,648,145,174,96,1016,146,1010,15.7
84,342,123,125,472,648,145,175,97,1016,146,991,15.8
83,343,124,126,471,648,145,176,97,964,146,982,15.9
83,342,123,126,471,647,145,177,97,1016,146,1014,16
83,342,123,125,471,646,145,177,97,1017,146,1014,16.1
